Time - Plot 0	Amplitude - Plot 0
1	0.00065858
2	8.48E-07
3	1.48E-06
4	2.22E-06
5	4.54E-06
6	1.50E-06
7	1.19E-07
8	6.45E-07
9	0.000353194
10	0.000705591
11	0.000352433
12	6.37E-07
13	3.75E-07
14	1.19E-07
15	3.44E-07
16	8.20E-07
17	5.33E-07
18	1.76E-07
19	8.25E-07
20	1.47E-06
21	8.32E-07
22	1.19E-06
23	1.27E-06
24	9.12E-07
25	6.10E-07
26	4.54E-07
27	5.47E-07
28	2.37E-07
29	4.87E-07
30	1.74E-07
31	6.99E-07
32	1.17E-06
33	1.33E-06
34	7.17E-07
35	3.33E-07
36	2.45E-07
37	1.87E-07
38	6.01E-07
39	1.30E-06
40	1.16E-06
41	6.01E-07
42	4.06E-07
43	6.34E-07
44	1.45E-07
45	6.78E-07
46	6.33E-07
47	3.32E-07
48	3.79E-07
49	1.01E-07
50	4.63E-07
51	7.10E-07
52	1.11E-06
53	1.18E-06
54	6.06E-07
55	6.53E-07
56	4.05E-07
57	2.79E-07
58	3.61E-07
59	1.95E-07
60	5.06E-07
61	4.91E-08
62	7.08E-07
63	4.33E-07
64	8.12E-08
65	5.25E-07
66	8.70E-07
67	5.00E-07
68	1.18E-07
69	4.12E-07
70	3.44E-07
71	8.48E-07
72	3.00E-07
73	4.75E-07
74	4.57E-07
75	8.41E-07
76	8.74E-07
77	1.27E-06
78	9.29E-07
79	1.80E-07
80	2.73E-07
81	7.94E-07
82	8.63E-07
83	1.14E-06
84	6.08E-07
85	4.65E-07
86	4.64E-07
87	7.01E-07
88	5.68E-07
89	3.72E-07
90	7.87E-07
91	8.04E-07
92	5.13E-07
93	3.90E-07
94	7.52E-08
95	6.51E-07
96	1.01E-06
97	1.03E-06
98	7.15E-07
99	6.69E-07
100	8.06E-07
101	2.87E-07
102	2.23E-07
103	4.98E-07
104	7.71E-07
105	4.05E-07
106	5.18E-07
107	9.12E-07
108	8.65E-07
109	3.63E-07
110	5.29E-07
111	1.03E-06
112	6.97E-07
113	7.25E-07
114	3.16E-07
115	5.78E-07
116	9.66E-07
117	4.37E-07
118	8.40E-07
119	9.20E-07
120	6.69E-07
121	8.80E-07
122	6.36E-07
123	1.88E-07
124	4.30E-07
125	3.58E-07
126	1.07E-06
127	1.51E-06
128	1.14E-06
129	4.42E-07
130	6.11E-07
131	3.93E-07
132	1.00E-06
133	1.32E-06
134	1.04E-06
135	1.14E-06
136	5.67E-07
137	2.71E-07
138	5.30E-07
139	1.18E-06
140	1.32E-06
141	1.22E-06
142	9.06E-07
143	2.37E-07
144	3.05E-07
145	2.71E-07
146	2.37E-07
147	4.05E-07
148	6.00E-07
149	5.10E-07
150	1.41E-06
151	1.60E-06
152	1.55E-06
153	9.85E-07
154	4.73E-07
155	4.99E-07
156	6.72E-07
157	7.43E-07
158	2.12E-07
159	8.85E-07
160	8.49E-07
161	1.02E-06
162	6.46E-07
163	3.80E-07
164	4.59E-07
165	5.17E-07
166	7.50E-07
167	6.72E-07
168	8.66E-07
169	1.30E-06
170	1.43E-06
171	1.01E-06
172	1.78E-07
173	5.85E-07
174	6.48E-07
175	1.04E-06
176	1.21E-06
177	8.58E-07
178	7.22E-07
179	3.80E-07
180	9.41E-07
181	1.32E-06
182	3.73E-07
183	5.08E-07
184	8.34E-07
185	8.77E-07
186	1.14E-06
187	7.64E-07
188	8.28E-07
189	6.22E-07
190	8.48E-07
191	3.41E-07
192	6.38E-07
193	6.06E-07
194	5.81E-07
195	2.38E-07
196	4.55E-07
197	1.10E-06
198	8.32E-07
199	8.09E-07
200	1.04E-06
201	8.25E-07
202	7.45E-07
203	5.55E-07
204	5.28E-07
205	8.01E-07
206	9.91E-07
207	5.76E-07
208	2.83E-07
209	6.77E-07
210	2.51E-07
211	1.03E-06
212	5.78E-07
213	1.40E-06
214	1.39E-06
215	7.83E-07
216	5.27E-07
217	3.44E-07
218	5.59E-07
219	1.24E-06
220	1.42E-06
221	7.78E-07
222	4.90E-07
223	4.53E-07
224	4.57E-07
225	3.90E-07
226	4.88E-07
227	7.73E-07
228	8.05E-07
229	1.27E-06
230	2.88E-07
231	8.46E-07
232	9.34E-07
233	5.45E-07
234	4.19E-07
235	5.33E-07
236	5.25E-08
237	6.47E-07
238	5.28E-07
239	3.92E-07
240	3.22E-07
241	1.07E-06
242	1.03E-06
243	7.21E-07
